CATEGORY,COUNTY NAME,DISTRICT,DEM_SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED
Military US,ANNE ARUNDEL,Councilmanic District Code 001,,,,,,3,,
Military US,ANNE ARUNDEL,Councilmanic District Code 002,,,,,,4,,
Military US,ANNE ARUNDEL,Councilmanic District Code 003,,,,,,0,,
Military US,ANNE ARUNDEL,Councilmanic District Code 004,,,,,,2,,
Military US,ANNE ARUNDEL,Councilmanic District Code 005,,,,,,7,,
Military US,ANNE ARUNDEL,Councilmanic District Code 006,,,,,,1,,
Military US,ANNE ARUNDEL,Councilmanic District Code 007,,,,,,3,,
Military US,BALTIMORE CITY,Councilmanic District Code 001,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 002,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 003,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 004,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 005,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 006,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 007,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 008,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 009,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 010,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 011,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 012,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 013,,,,,,0,,
Military US,BALTIMORE CITY,Councilmanic District Code 014,,,,,,0,,
Military US,BALTIMORE COUNTY,Councilmanic District Code 001,,,,,,0,,
Military US,BALTIMORE COUNTY,Councilmanic District Code 002,,,,,,0,,
Military US,BALTIMORE COUNTY,Councilmanic District Code 003,,,,,,2,,
Military US,BALTIMORE COUNTY,Councilmanic District Code 004,,,,,,0,,
Military US,BALTIMORE COUNTY,Councilmanic District Code 005,,,,,,1,,
Military US,BALTIMORE COUNTY,Councilmanic District Code 006,,,,,,0,,
Military US,BALTIMORE COUNTY,Councilmanic District Code 007,,,,,,0,,
Military US,CECIL,Councilmanic District Code 001,,,,,,1,,
Military US,CECIL,Councilmanic District Code 002,,,,,,0,,
Military US,CECIL,Councilmanic District Code 003,,,,,,0,,
Military US,CECIL,Councilmanic District Code 004,,,,,,0,,
Military US,CECIL,Councilmanic District Code 005,,,,,,0,,
Military US,DORCHESTER,Councilmanic District Code 001,,,,,,0,,
Military US,DORCHESTER,Councilmanic District Code 002,,,,,,0,,
Military US,DORCHESTER,Councilmanic District Code 003,,,,,,0,,
Military US,DORCHESTER,Councilmanic District Code 004,,,,,,0,,
Military US,DORCHESTER,Councilmanic District Code 005,,,,,,0,,
Military US,FREDERICK,Councilmanic District Code 001,,,,,,2,,
Military US,FREDERICK,Councilmanic District Code 002,,,,,,0,,
Military US,FREDERICK,Councilmanic District Code 003,,,,,,0,,
Military US,FREDERICK,Councilmanic District Code 004,,,,,,0,,
Military US,FREDERICK,Councilmanic District Code 005,,,,,,1,,
Military US,HARFORD,Councilmanic District Code A,,,,,,0,,
Military US,HARFORD,Councilmanic District Code B,,,,,,1,,
Military US,HARFORD,Councilmanic District Code C,,,,,,0,,
Military US,HARFORD,Councilmanic District Code D,,,,,,2,,
Military US,HARFORD,Councilmanic District Code E,,,,,,1,,
Military US,HARFORD,Councilmanic District Code F,,,,,,1,,
Military US,HOWARD,Councilmanic District Code 001,,,,,,1,,
Military US,HOWARD,Councilmanic District Code 002,,,,,,1,,
Military US,HOWARD,Councilmanic District Code 003,,,,,,0,,
Military US,HOWARD,Councilmanic District Code 004,,,,,,1,,
Military US,HOWARD,Councilmanic District Code 005,,,,,,0,,
Military US,MONTGOMERY,Councilmanic District Code 001,,,,,,1,,
Military US,MONTGOMERY,Councilmanic District Code 002,,,,,,1,,
Military US,MONTGOMERY,Councilmanic District Code 003,,,,,,1,,
Military US,MONTGOMERY,Councilmanic District Code 004,,,,,,0,,
Military US,MONTGOMERY,Councilmanic District Code 005,,,,,,0,,
Military US,MONTGOMERY,Councilmanic District Code 006,,,,,,1,,
Military US,MONTGOMERY,Councilmanic District Code 007,,,,,,0,,
Military US,PRINCE GEORGE'S,Councilmanic District Code 001,,,,,,0,,
Military US,PRINCE GEORGE'S,Councilmanic District Code 002,,,,,,0,,
Military US,PRINCE GEORGE'S,Councilmanic District Code 003,,,,,,0,,
Military US,PRINCE GEORGE'S,Councilmanic District Code 004,,,,,,1,,
Military US,PRINCE GEORGE'S,Councilmanic District Code 005,,,,,,0,,
Military US,PRINCE GEORGE'S,Councilmanic District Code 006,,,,,,0,,
Military US,PRINCE GEORGE'S,Councilmanic District Code 007,,,,,,0,,
Military US,PRINCE GEORGE'S,Councilmanic District Code 008,,,,,,3,,
Military US,PRINCE GEORGE'S,Councilmanic District Code 009,,,,,,0,,
Military US,TALBOT,Councilmanic District Code 000,,,,,,1,,
Military US,WICOMICO,Councilmanic District Code 001,,,,,,0,,
Military US,WICOMICO,Councilmanic District Code 002,,,,,,0,,
Military US,WICOMICO,Councilmanic District Code 003,,,,,,0,,
Military US,WICOMICO,Councilmanic District Code 004,,,,,,0,,
Military US,WICOMICO,Councilmanic District Code 005,,,,,,0,,
Military US Total,,,,,,,,44,,
Grand Total,,,,,,,,16323,,
